Mount Howe
Operated by US
latitude -87.32 longitude -149.55 height 2400m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1992 01 11 00 00 -999      -16.0     1.0   352                                  
1992 01 11 03 00 -999      -16.5     2.0   292                                  
1992 01 11 06 00 -999      -19.1     1.6    19                                  
1992 01 11 09 00 -999      -17.6     2.0   127                                  
1992 01 11 12 00 -999      -20.1     6.4   281                                  
1992 01 11 15 00 -999      -19.3     4.9   151                                  
1992 01 11 18 00 -999      -18.9     3.9   153                                  
1992 01 11 21 00 -999      -19.6     4.5   136                                  
1992 01 12 00 00 -999      -21.1    13.8   139                                  
1992 01 12 03 00 -999      -21.6    15.2   127                                  
1992 01 12 06 00 -999      -22.8    22.6   133                                  
1992 01 12 09 00 -999      -23.5    20.7   146                                  
1992 01 12 12 00 -999      -24.5    22.6   140                                  
1992 01 12 15 00 -999      -25.3    25.2   129                                  
1992 01 12 18 00 -999      -24.6    22.0   137                                  
1992 01 12 21 00 -999      -23.9    14.8   139                                  
1992 01 13 00 00 -999      -21.9     8.4   142                                  
1992 01 13 03 00 -999      -20.4     8.8   127                                  
1992 01 13 06 00 -999      -20.3     8.4   123                                  
1992 01 13 09 00 -999      -20.0    10.3   129                                  
1992 01 13 12 00 -999      -19.1     4.5   133                                  
1992 01 13 15 00 -999      -20.0     5.8   133                                  
1992 01 13 18 00 -999      -21.3    10.7   132                                  
1992 01 13 21 00 -999      -19.8     7.8   132                                  
1992 01 14 00 00 -999      -19.5    15.8    98                                  
1992 01 14 03 00 -999      -19.1    16.2    88                                  
1992 01 14 06 00 -999      -19.1    21.6   102                                  
1992 01 14 09 00 -999      -19.8    11.7    94                                  
1992 01 14 12 00 -999      -20.3    13.8    90                                  
1992 01 14 15 00 -999      -20.4    14.8   111                                  
1992 01 14 18 00 -999      -20.6    24.0    88                                  
1992 01 14 21 00 -999      -20.4    22.0    88                                  
1992 01 15 00 00 -999      -19.6    21.6   119                                  
1992 01 15 03 00 -999      -18.9    19.1    88                                  
1992 01 15 06 00 -999      -18.5    24.0    91                                  
1992 01 15 09 00 -999      -19.1    40.8    82                                  
1992 01 15 12 00 -999      -18.9    25.2    97                                  
1992 01 15 15 00 -999      -18.6    25.5    98                                  
1992 01 15 18 00 -999      -18.4    33.9    71                                  
1992 01 15 21 00 -999      -17.8    16.8    99                                  
1992 01 16 00 00 -999      -17.8    19.7    87                                  
1992 01 16 03 00 -999      -18.0    21.6   108                                  
1992 01 16 06 00 -999      -18.5    28.5    88                                  
1992 01 16 09 00 -999      -19.5    22.6    92                                  
1992 01 16 12 00 -999      -19.5    15.8   106                                  
1992 01 16 15 00 -999      -19.5    17.2   126                                  
1992 01 16 18 00 -999      -19.3    16.8   116                                  
1992 01 16 21 00 -999      -20.1    17.2   119                                  
1992 01 17 00 00 -999      -20.6    28.1   127                                  
1992 01 17 03 00 -999      -20.0    27.1   120                                  
1992 01 17 06 00 -999      -21.1    23.6   130                                  
1992 01 17 09 00 -999      -21.1    20.1   127                                  
1992 01 17 12 00 -999      -20.9    14.8   154                                  
1992 01 17 15 00 -999      -20.6    17.2   149                                  
1992 01 17 18 00 -999      -20.9    21.1   146                                  
1992 01 17 21 00 -999      -21.9    26.5   127                                  
1992 01 18 00 00 -999      -22.0    24.6   139                                  
1992 01 18 03 00 -999      -22.3    24.6   126                                  
1992 01 18 06 00 -999      -22.8    18.7   136                                  
1992 01 18 09 00 -999      -23.9    22.6   137                                  
1992 01 18 12 00 -999      -25.5    32.0   142                                  
1992 01 18 15 00 -999      -24.3    26.5   127                                  
1992 01 18 18 00 -999      -25.1    30.0   143                                  
1992 01 18 21 00 -999      -23.3    19.7   130                                  
